생맥주	NNG
생선묵	NNG
생선전	NNG
생선회	NNG
생황장	NNG
샤실리크	NNG
샴페인	NNG
설탕	NNG
누룽지탕	NNG
탕수육	NNG
라조육	NNG
해삼탕	NNG
잡치	NNG
양장피	NNG
깐풍기	NNG
라조기	NNG
고추잡채	NNG
난자완스	NNG
깐쇼새우	NNG
깐풍육	NNG
해물잡탕	NNG
팔보채	NNG
유산슬	NNG
마파두부	NNG
짜장면	NNG
짬뽕	NNG
우동	NNG
울면	NNG
간짜장	NNG
잡채밥	NNG
양송이덮밥	NNG
새우볶음밥	NNG
삼선볶음밥	NNG
마파두부밥	NNG
짜장덮밥	NNG
볶음밥	NNG
유산슬덮밥	NNG
잡탕밥	NNG
삼선짬뽕	NNG
삼선우동	NNG
삼선간짜장	NNG
떡국	NNG
떡만두국	NNG
갈비탕	NNG
왕만두	NNG
육개장	NNG
제육덮밥	NNG
오징어덮밥	NNG
자장	NNG
자장면	NNG
자장밥	NNG
보쌈	NNG
보쌈정식	NNG
한박스테이크	NNG
막국수	NNG
닭볶음탕	NNG
깐풍볶음밥	NNG
알밥	NNG
순대국	NNG
순댓국	NNG
마라탕	NNG
족발	NNG
족발정식	NNG
콩나물국밥	NNG
뼈해장국	NNG
파전	NNG
해물파전	NNG
김치전	NNG
김치찜	NNG
나주곰탕	NNG
소고기무국	NNG
꼬리곰탕	NNG
초밥	NNG
연어초밥	NNG
추어탕	NNG
돼지국밥	NNG
닭곰탕	NNG
소머리국밥	NNG
해장국	NNG
설렁탕	NNG
양꼬치	NNG
순두부찌개	NNG
칼국수	NNG
바지락칼국수	NNG
파스타	NNG
연유식빵	NNG
돈까스	NNG
햄버거	NNG
닭발	NNG
곱창	NNG
막창	NNG
대창	NNG
염통	NNG
닭꼬치	NNG
부대찌개	NNG
쌀국수	NNG
피자	NNG
찜닭	NNG
케이크	NNG
케잌	NNG
라멘	NNG
돈부리	NNG
치킨	NNG
고구마	NNG
고등어구어	NNG
고등어	NNG
두부김치	NNG
스테이크	NNG
육회	NNG
빙수	NNG
팥빙수	NNG
쫄면	NNG
떡만두	NNG
떡만두국	NNG
떡만둣국	NNG
비빔국수	NNG
물국수	NNG
생선까스	NNG
볶음밥	NNG
1시	NNG
2시	NNG
3시	NNG
4시	NNG
5시	NNG
6시	NNG
7시	NNG
8시	NNG
9시	NNG
10시	NNG
11시	NNG
12시	NNG
13시	NNG
14시	NNG
15시	NNG
16시	NNG
17시	NNG
18시	NNG
19시	NNG
20시	NNG
21시	NNG
22시	NNG
23시	NNG
24시	NNG
0분	NNG
1분	NNG
2분	NNG
3분	NNG
4분	NNG
5분	NNG
6분	NNG
7분	NNG
8분	NNG
9분	NNG
10분	NNG
11분	NNG
12분	NNG
13분	NNG
14분	NNG
15분	NNG
16분	NNG
17분	NNG
18분	NNG
19분	NNG
20분	NNG
21분	NNG
22분	NNG
23분	NNG
24분	NNG
25분	NNG
26분	NNG
27분	NNG
28분	NNG
29분	NNG
30분	NNG
31분	NNG
32분	NNG
33분	NNG
34분	NNG
35분	NNG
36분	NNG
37분	NNG
38분	NNG
39분	NNG
40분	NNG
41분	NNG
42분	NNG
43분	NNG
44분	NNG
45분	NNG
46분	NNG
47분	NNG
48분	NNG
49분	NNG
50분	NNG
51분	NNG
52분	NNG
53분	NNG
54분	NNG
55분	NNG
56분	NNG
57분	NNG
58분	NNG
59분	NNG
동대	NNG
동국대학교	NNG
동국대	NNG
